estado,electores,maduro,capriles,otros
Amazonas,96290,36337,33557,92
Anzoátegui,1066509,383125,424685,1775
Apure,310047,138488,86542,323
Aragua,1164714,512379,432265,3249
Barinas,525152,212766,195061,525
Bolivar,941697,350537,380219,2083
Carabobo,1516239,609773,595046,2968
Cojedes,223028,107493,67936,316
Delta Amacuro,113246,47084,31359,175
Distrito Capital,1608977,651062,611359,6202
Falcón,634614,265995,234457,1033
Guárico,500651,297469,157465,597
Lara,1197690,470203,512604,2541
Mérida,576870,202287,268640,787
Miranda,1950657,735332,814547,6246
Monagas,595085,260508,208674,941
Nueva Esparta,329544,125143,141236,395
Portuguesa,577589,303189,158818,1352
Sucre,627622,268868,197951,618
Táchira,799086,234884,399460,904
Trujillo,501516,233892,156449,852
Vargas,265911,118752,88392,882
Yaracuy,405385,184045,140509,751
Zulia,2334529,877828,959770,3275